huc4,HUC_count,gained_urban_area,stable_urban_area,dry_transition_area,wet_transition_area,stable_urban_dry_area,gained_urban_dry_area,stable_urban_wet_area,gained_urban_wet_area,urbanization_percent,stable-urban_dry_perc,gained-urban_dry_perc,stable-urban_wet_perc,gained-urban_wet_perc,urban_dry_perc,urban_wet_perc
1401,42746322,564.2154,2224.3824,28.3545,35.721,2.9655,0.9063,1.5273,0.3348,7.248441164131034,10.458657355975241,3.1963180447548005,4.275636180398086,0.9372637944066515,13.654975400730041,5.2128999748047375
1402,34383242,393.5547,1686.6702,25.7706,8.4798,2.8791,0.7056,0.6237,0.1044,6.722347473807153,11.172033247188656,2.7380037717398893,7.35512630014859,1.2311611122903843,13.910037018928545,8.586287412438974
1403,35722783,183.4596,486.8946,23.4837,6.9579,1.2168,0.7434,0.0918,0.0486,2.0850503164884997,5.181466293641974,3.1655999693404357,1.3193636010865346,0.69848661233993,8.347066262982409,2.0178502134264646
1404,93245179,405.459,828.6291,41.1876,57.0411,0.72,0.9009,1.7721,0.6912,1.4705414421479097,1.7480989424001396,2.1873088016781748,3.106707268969217,1.2117578377696083,3.935407744078314,4.3184651067388256
1405,58342496,334.3887,816.2397,17.5392,26.8839,1.0026,0.4356,0.8685,0.5301,2.1913289414289028,5.716338259441707,2.4835796387520523,3.23055806635198,1.9718121254728667,8.199917898193759,5.202370191824847
1406,63352074,616.5261,1255.0437,37.0062,72.8937,1.3068,0.9225,0.837,0.4446,3.282484485038327,3.5313001605136436,2.492825526533392,1.1482473794031582,0.6099292531453335,6.024125687047036,1.7581766325484918
1407,57685958,336.4038,628.8759,199.5138,6.5817,1.6686,13.041,0.1089,0.0783,1.8592618328363377,0.8363331258288901,6.53638996400249,1.654587720497744,1.1896622453165595,7.37272308983138,2.8442499658143037
1408,104328808,846.2106,2208.5541,94.0113,25.6869,4.5621,3.4713,0.936,0.297,3.2533516533611695,4.852714514106283,3.692428463386848,3.643880732980624,1.156231386426544,8.54514297749313,4.800112119407168
1501,126496342,1144.4976,2133.711,304.9659,31.0626,2.2248,30.5451,0.2844,0.306,2.879493542983243,0.7295241861467135,10.015906696453605,0.9155704931332214,0.9851074926116938,10.745430882600319,1.9006779857449152
1502,111044747,556.2288,1030.8816,85.2075,22.0428,0.5157,0.5274,0.1854,0.162,1.5880589110622223,0.6052284129918142,0.6189595986268814,0.8410909684795036,0.7349338559529642,1.2241880116186956,1.576024824432468
1503,69813117,421.9893,1087.2378,28.8918,31.8843,1.4868,0.4086,1.5651,0.3105,2.40201135840991,5.146096816397732,1.4142421032957448,4.9086854658876,0.9738335168092133,6.560338919693477,5.882518982696813
1504,60698477,250.2261,409.7736,79.5987,6.4674,3.7458,2.0133,0.0927,0.1458,1.2081571667770181,4.705855748900422,2.5293126646540713,1.4333426106317841,2.254383523517952,7.235168413554494,3.6877261341497363
1505,67086082,1391.7249,3099.0681,25.2279,20.169,0.7506,0.5508,0.4959,0.4707,7.437861701328749,2.975277371481574,2.1832970639648956,2.458723784024989,2.3337795626952254,5.15857443544647,4.792503346720214
1506,54686818,634.7556,2099.2626,42.9543,37.3869,3.5847,3.3219,0.7038,0.6804,5.554899902934561,8.345381021224883,7.733568001340959,1.88247755229773,1.8198887845742762,16.078949022565844,3.7023663368720063
1507,60451890,1054.143,1873.7595,75.0888,21.6936,0.7452,0.8703,0.639,0.6489,5.381510817941342,0.9924249688368971,1.159027711189951,2.9455692001327582,2.9912047792897445,2.151452680026848,5.936773979422503
